"MORPHID","LEMMA","POS","MORPH"
17,"acer","a","acer"
18,"acetabulum","n","acetabula"
19,"acetify","v","acetified"
20,"acicula","n","aciculae"
21,"acidify","v","acidified"
22,"acinus","n","acini"
24,"acquit","v","acquitting"
23,"acquit","v","acquitted"
25,"acre-foot","n","acre-feet"
26,"acromion","n","acromia"
27,"actinia","n","actiniae"
28,"actinozoan","n","actinozoa"
30,"ad-lib","v","ad-libbing"
29,"ad-lib","v","ad-libbed"
1,"aardwolf","n","aardwolves"
2,"abacus","n","abaci"
4,"abet","v","abetting"
3,"abet","v","abetted"
6,"abhor","v","abhorring"
5,"abhor","v","abhorred"
7,"abide","v","abode"
9,"abscissa","n","abscissae"
11,"abut","v","abutting"
10,"abut","v","abutted"
12,"aby","v","abye"
8,"aby","v","abought"
13,"acanthus","n","acanthi"
14,"acarus","n","acari"
15,"acciaccatura","n","acciaccature"
16,"accompany","v","accompanied"
45,"aide-de-camp","n","aides-de-camp"
46,"aide-memoire","n","aides-memoire"
47,"air-dry","v","air-dried"
49,"airdrop","v","airdropping"
48,"airdrop","v","airdropped"
51,"airy","a","airiest"
50,"airy","a","airier"
58,"allot","v","allotting"
57,"allot","v","allotted"
61,"allow for","v","allows for"
60,"allow for","v","allowing for"
59,"allow for","v","allowed for"
62,"alluvium","n","alluvia"
56,"ally","v","allied"
63,"altocumulus","n","altocumuli"
64,"altostratus","n","altostrati"
65,"alula","n","alulae"
66,"alumna","n","alumnae"
67,"alumnus","n","alumni"
68,"alveolus","n","alveoli"
70,"amanuensis","n","amanuenses"
71,"ambulacrum","n","ambulacra"
52,"ala","n","alae"
53,"alewife","n","alewives"
54,"alkali","n","alkalies"
55,"alkalify","v","alkalified"
31,"addendum","n","addenda"
32,"address","v","addrest"
33,"adenocarcinoma","n","adenocarcinomata"
34,"adenoma","n","adenomata"
35,"adieu","n","adieux"
37,"admit","v","admitting"
36,"admit","v","admitted"
38,"aecium","n","aecia"
39,"aerify","v","aerified"
40,"after","a","after"
41,"agnomen","n","agnomina"
42,"agon","n","agones"
43,"agora","n","agorae"
44,"agouti","n","agouties"
106,"antheridium","n","antheridia"
94,"antheridium","n","andtheridia"
107,"anthozoan","n","anthozoa"
108,"anthrax","n","anthraces"
109,"antihero","n","antiheroes"
