"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"joyless",301371280,,"adj.all",0,"a","joyless#1(joyless%3:00:00::)","not experiencing or inspiring joy","a joyless man|a joyless occasion|joyless evenings","joyless",1,50,"also",300365559,"adj.all",0,"a","cheerless#1(cheerless%3:00:00::),uncheerful#1(uncheerful%3:00:04::),depressing#1(depressing%3:00:00::)","causing sad feelings of gloom and inadequacy","the economic outlook is depressing|something cheerless about the room|an uncheerful place|a moody and uncheerful person","cheerless,uncheerful,depressing"
"colourless",300405279,,"adj.all",0,"a","colourless#2(colourless%3:00:02::),colorless#2(colorless%3:00:02::)","weak in color; not colorful","","colourless,colorless",2,50,"also",300387453,"adj.all",0,"a","achromatic#1(achromatic%3:00:00::),neutral#5(neutral%3:00:00::)","having no hue","neutral colors like black or white","achromatic,neutral"
"incommunicative",300502614,,"adj.all",0,"a","uncommunicative#1(uncommunicative%3:00:00::),incommunicative#1(incommunicative%3:00:04::)","not inclined to talk or give information or express opinions","","uncommunicative,incommunicative",1,50,"also",302392418,"adj.all",0,"a","taciturn#1(taciturn%3:00:00::)","habitually reserved and uncommunicative","","taciturn"
"negative",301823910,12,"adj.all",0,"a","negative#1(negative%3:00:02::)","characterized by or displaying negation or denial or opposition or resistance; having no positive features","a negative outlook on life|a colorless negative personality|a negative reaction to an advertising campaign|a negative evaluation","negative",1,50,"also",302365456,"adj.all",0,"a","unsupportive#1(unsupportive%3:00:00::)","not furnishing support or assistance","","unsupportive"
"considerate",300642094,2,"adj.all",0,"a","considerate#1(considerate%3:00:00::)","showing concern for the rights and feelings of others","friends considerate enough to leave us alone","considerate",1,50,"also",301375148,"adj.all",0,"a","kind#1(kind%3:00:00::)","having or showing a tender and considerate and helpful nature; used especially of persons and their behavior","kind to sick patients|a kind master|kind words showing understanding and sympathy|thanked her for her kind letter","kind"
"considerate",300642094,2,"adj.all",0,"a","considerate#1(considerate%3:00:00::)","showing concern for the rights and feelings of others","friends considerate enough to leave us alone","considerate",1,50,"also",302393421,"adj.all",0,"a","tactful#1(tactful%3:00:00::)","having or showing a sense of what is fitting and considerate in dealing with others","she was tactful enough not to shatter his illusion|a tactful remark eased her embarrassment","tactful"
"exogamic",300874654,,"adj.all",0,"a","exogamous#2(exogamous%3:00:01::),exogamic#2(exogamic%3:00:01::)","pertaining to or characterized by the custom of marrying only outside the limits of a clan or tribe","","exogamous,exogamic",2,50,"also",301295232,"adj.all",0,"a","outbred#1(outbred%3:00:00::)","bred of parents not closely related; having parents of different classes or tribes","","outbred"
"advantageous",300064738,1,"adj.all",0,"a","advantageous#1(advantageous%3:00:00::),favourable#3(favourable%3:00:03::),favorable#4(favorable%3:00:03::)","giving an advantage","a contract advantageous to our country|socially advantageous to entertain often","advantageous,favourable,favorable",1,50,"also",301877101,"adj.all",0,"a","profitable#1(profitable%3:00:00::)","yielding material gain or profit","profitable speculation on the stock market","profitable"
"uninformed",301311552,,"adj.all",0,"a","uninformed#1(uninformed%3:00:00::)","not informed; lacking in knowledge or information","the uninformed public","uninformed",1,50,"also",300887629,"adj.all",0,"a","unenlightened#1(unenlightened%3:00:00::)","not enlightened; ignorant","the devices by which unenlightened men preserved the unjust social order","unenlightened"
"uninformed",301311552,,"adj.all",0,"a","uninformed#1(uninformed%3:00:00::)","not informed; lacking in knowledge or information","the uninformed public","uninformed",1,50,"also",300834347,"adj.all",0,"a","uneducated#1(uneducated%3:00:00::)","not having a good education","","uneducated"
"improper",301886875,,"adj.all",0,"a","improper#1(improper%3:00:00::)","not suitable or right or appropriate","slightly improper to dine alone with a married man|improper medication|improper attire for the golf course","improper",1,50,"also",300136789,"adj.all",0,"a","inappropriate#1(inappropriate%3:00:00::)","not suitable for a particular occasion etc","inappropriate shoes for a walk on the beach|put inappropriate pressure on them|noise seems inappropriate at a time of sadness","inappropriate"
"improper",301886875,,"adj.all",0,"a","improper#1(improper%3:00:00::)","not suitable or right or appropriate","slightly improper to dine alone with a married man|improper medication|improper attire for the golf course","improper",1,50,"also",301025040,"adj.all",0,"a","unfit#1(unfit%3:00:02::)","below the required standards for a purpose","an unfit parent|unfit for human consumption","unfit"
"external",300951411,9,"adj.all",0,"a","external#1(external%3:00:00::)","happening or arising or located outside or beyond some limits or especially surface","the external auditory canal|external pressures","external",1,50,"also",301697594,"adj.all",0,"a","outside#1(outside%3:00:00::)","relating to or being on or near the outer side or limit","an outside margin","outside"
