"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"quantity",100033932,15,"noun.tops",3,"n","quantity#1(quantity%1:03:00::),measure#2(measure%1:03:00::),amount#3(amount%1:03:00::)","how much there is or how many there are of something that you can quantify","","quantity,measure,amount",1,60,"attribute",302305260,"adj.all",0,"a","nonstandard#2(nonstandard%3:00:02::)","varying from or not adhering to a standard","nonstandard windows|envelopes of nonstandard sizes|nonstandard lengths of board","nonstandard"
"colourless",300405279,,"adj.all",0,"a","colourless#2(colourless%3:00:02::),colorless#2(colorless%3:00:02::)","weak in color; not colorful","","colourless,colorless",2,60,"attribute",105124736,"noun.attribute",7,"n","vividness#1(vividness%1:07:01::),color#2(color%1:07:03::),colour#3(colour%1:07:03::)","interest and variety and intensity","the Puritan Period was lacking in color|the characters were delineated with exceptional vividness","vividness,color,colour"
"thoughtful",302428138,1,"adj.all",0,"a","thoughtful#2(thoughtful%3:00:00::)","exhibiting or characterized by careful thought","a thoughtful paper","thoughtful",2,60,"attribute",104592023,"noun.attribute",7,"n","thoughtfulness#3(thoughtfulness%1:07:00::)","the trait of thinking carefully before acting","","thoughtfulness"
"efficacious",300842486,1,"adj.all",0,"a","efficacious#1(efficacious%3:00:00::)","marked by qualities giving the power to produce an intended effect","the medicine is efficacious in stopping a cough|written propaganda is less efficacious than the habits and prejudices...of the readers","efficacious",1,60,"attribute",105131267,"noun.attribute",7,"n","efficacy#1(efficacy%1:07:00::),efficaciousness#1(efficaciousness%1:07:00::)","capacity or power to produce a desired effect","concern about the safety and efficacy of the vaccine","efficacy,efficaciousness"
"sure",300337729,51,"adj.all",0,"a","sure#1(sure%3:00:00::),certain#2(certain%3:00:02::)","having or feeling no doubt or uncertainty; confident and assured","felt certain of success|was sure (or certain) she had seen it|was very sure in his beliefs|sure of her friends","sure,certain",1,60,"attribute",105629458,"noun.cognition",9,"n","assurance#1(assurance%1:09:00::),confidence#1(confidence%1:09:00::),sureness#1(sureness%1:09:00::),self-assurance#1(self-assurance%1:09:00::),self-confidence#1(self-confidence%1:09:00::),authority#4(authority%1:09:00::)","freedom from doubt; belief in yourself and your abilities","his assurance in his superiority did not make him popular|she spoke with authority|after that failure he lost his confidence","assurance,confidence,sureness,self-assurance,self-confidence,authority"
"morality",104778131,8,"noun.attribute",7,"n","morality#1(morality%1:07:00::)","concern with the distinction between good and evil or right and wrong; right or good conduct","","morality",1,60,"attribute",301911286,"adj.all",0,"a","pure#6(pure%3:00:01::)","(used of persons or behaviors) having no faults; sinless","I felt pure and sweet as a new baby|pure as the driven snow","pure"
"scent",104911387,1,"noun.attribute",7,"n","aroma#1(aroma%1:07:00::),odor#1(odor%1:07:00::),olfactory property#1(olfactory_property%1:07:00::),odour#2(odour%1:07:00::),smell#2(smell%1:07:00::),scent#3(scent%1:07:00::)","any property detected by the olfactory system","","aroma,odor,olfactory property,odour,smell,scent",3,60,"attribute",301061597,"adj.all",0,"a","inodorous#1(inodorous%3:00:00::),odourless#1(odourless%3:00:00::),odorless#1(odorless%3:00:00::)","having no odor","odorless flowers|odorless gas","inodorous,odourless,odorless"
"incapable",300308272,4,"adj.all",0,"a","incapable#1(incapable%3:00:00::)","(followed by `of') lacking capacity or ability","incapable of carrying a tune|he is incapable of understanding the matter|incapable of doing the work","incapable",1,60,"attribute",105133895,"noun.attribute",7,"n","capability#1(capability%1:07:00::),capableness#2(capableness%1:07:00::)","the quality of being capable -- physically or intellectually or legally","he worked to the limits of his capability","capability,capableness"
"wild",302398258,5,"adj.all",0,"a","untamed#1(untamed%3:00:04::),wild#2(wild%3:00:01::)","in a natural state; not tamed or domesticated or cultivated","wild geese|edible wild plants","untamed,wild",2,60,"attribute",104839133,"noun.attribute",7,"n","wildness#4(wildness%1:07:00::)","an intractably barbarous or uncultivated state of nature","","wildness"
"effectivity",105130684,,"noun.attribute",7,"n","effectiveness#1(effectiveness%1:07:00::),effectualness#1(effectualness%1:07:00::),effectuality#1(effectuality%1:07:00::),effectivity#1(effectivity%1:07:00::)","power to be effective; the quality of being able to bring about an effect","","effectiveness,effectualness,effectuality,effectivity",1,60,"attribute",300839239,"adj.all",0,"a","ineffective#1(ineffective%3:00:00::),uneffective#1(uneffective%3:00:00::),ineffectual#1(ineffectual%3:00:02::)","not producing an intended effect","an ineffective teacher|ineffective legislation","ineffective,uneffective,ineffectual"
