"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"end",200353511,29,"verb.change",30,"v","terminate#1(terminate%2:30:01::),end#2(end%2:30:01::)","bring to an end or halt","The attack on Poland terminated the relatively peaceful period after WW I|She ended their friendship when she found out that he had once been convicted of a crime","terminate,end",2,23,"cause",202615038,"verb.stative",42,"v","end#1(end%2:42:00::),cease#2(cease%2:42:13::),terminate#2(terminate%2:42:00::),finish#3(finish%2:42:00::),stop#9(stop%2:42:13::)","have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical","the bronchioles terminate in a capillary bed|Your rights stop where you infringe upon the rights of other|My property ends by the bushes|The symphony ends in a pianissimo","end,cease,terminate,finish,stop"
"sit",201546318,,"verb.contact",35,"v","seat#1(seat%2:35:00::),sit down#2(sit_down%2:35:00::),sit#9(sit%2:35:01::)","show to a seat; assign a seat for","The host seated me next to Mrs. Smith","seat,sit down,sit",9,23,"cause",201545443,"verb.contact",35,"v","sit#1(sit%2:35:00::),sit down#3(sit_down%2:35:03::)","be seated","","sit,sit down"
"give away",200935925,3,"verb.communication",32,"v","divulge#1(divulge%2:32:00::),let on#1(let_on%2:32:00::),disclose#1(disclose%2:32:00::),reveal#2(reveal%2:32:00::),unwrap#2(unwrap%2:32:00::),expose#2(expose%2:32:01::),let out#2(let_out%2:32:00::),give away#2(give_away%2:32:00::),uncover#3(uncover%2:32:00::),discover#6(discover%2:32:04::),bring out#9(bring_out%2:32:06::),break#15(break%2:32:00::)","make known to the public information that was previously known only to a few people or that was meant to be kept a secret","The auction house would not disclose the price at which the van Gogh had sold|The actress won't reveal how old she is|bring out the truth|he broke the news to her|unwrap the evidence in the murder case|The newspaper uncovered the President's illegal dealings","divulge,let on,disclose,reveal,unwrap,expose,let out,give away,uncover,discover,bring out,break",2,23,"cause",200938161,"verb.communication",32,"v","get around#1(get_around%2:32:00::),get out#6(get_out%2:32:00::),break#46(break%2:32:05::)","be released or become known; of news","News of her death broke in the morning","get around,get out,break"
"call",202434038,9,"verb.social",41,"v","call#7(call%2:41:04::)","call a meeting; invite or command to meet","The new dean calls meetings every week|The Wannsee Conference was called to discuss the `Final Solution'","call",7,23,"cause",202433152,"verb.social",41,"v","foregather#1(foregather%2:41:00::),forgather#1(forgather%2:41:00::),gather#2(gather%2:41:00::),assemble#2(assemble%2:41:00::),meet#5(meet%2:41:00::)","collect in one place","We assembled in the church basement|Let's gather in the dining room","foregather,forgather,gather,assemble,meet"
"fluster",201793944,,"verb.emotion",37,"v","fluster#2(fluster%2:37:00::)","cause to be nervous or upset","","fluster",2,23,"cause",201795534,"verb.emotion",37,"v","fluster#1(fluster%2:37:01::)","be flustered; behave in a confused manner","","fluster"
"spark",201646737,5,"verb.creation",36,"v","activate#1(activate%2:36:00::),actuate#1(actuate%2:36:00::),set off#1(set_off%2:36:00::),spark#1(spark%2:36:00::),touch off#1(touch_off%2:36:00::),trigger#1(trigger%2:36:00::),trigger off#1(trigger_off%2:36:00::),spark off#1(spark_off%2:36:00::),trip#4(trip%2:36:00::)","put in motion or move to act","trigger a reaction|actuate the circuits","activate,actuate,set off,spark,touch off,trigger,trigger off,spark off,trip",1,23,"cause",200340744,"verb.change",30,"v","come about#1(come_about%2:30:00::),happen#1(happen%2:30:00::),occur#1(occur%2:30:00::),take place#1(take_place%2:30:00::),hap#1(hap%2:30:00::),go on#2(go_on%2:30:00::),pass off#5(pass_off%2:30:00::),fall out#5(fall_out%2:30:00::),pass#8(pass%2:30:00::)","come to pass","What is happening?|The meeting took place off without an incidence|Nothing occurred that seemed important","come about,happen,occur,take place,hap,go on,pass off,fall out,pass"
"cut down",201260781,,"verb.contact",35,"v","fell#1(fell%2:35:00::),strike down#3(strike_down%2:35:00::),cut down#6(cut_down%2:35:02::),drop#9(drop%2:35:03::)","cause to fall by or as if by delivering a blow","strike down a tree|Lightning struck down the hikers","fell,strike down,cut down,drop",6,23,"cause",201974040,"verb.motion",38,"v","descend#1(descend%2:38:00::),go down#1(go_down%2:38:02::),come down#1(come_down%2:38:00::),fall#2(fall%2:38:00::)","move downward and lower, but not necessarily all the way","The temperature is going down|The barometer is falling|The curtain fell on the diva|Her hand went up and then fell again","descend,go down,come down,fall"
"graduate",202268368,3,"verb.possession",40,"v","graduate#2(graduate%2:40:01::)","confer an academic degree upon","This school graduates 2,000 students each year","graduate",2,23,"cause",202268586,"verb.possession",40,"v","graduate#1(graduate%2:40:00::)","receive an academic degree upon completion of one's studies","She graduated in 1990","graduate"
"joy",201816998,,"verb.emotion",37,"v","gladden#1(gladden%2:37:01::),joy#2(joy%2:37:01::)","make glad or happy","","gladden,joy",2,23,"cause",201816449,"verb.emotion",37,"v","gladden#2(gladden%2:37:00::)","become glad or happy","","gladden"
"unlax",200025647,,"verb.body",29,"v","make relaxed#1(make_relaxed%2:29:00::),unstrain#1(unstrain%2:29:00::),unlax#1(unlax%2:29:01::),relax#4(relax%2:29:01::),unwind#4(unwind%2:29:01::),loosen up#5(loosen_up%2:29:01::)","cause to feel relaxed","A hot bath always relaxes me","make relaxed,unstrain,unlax,relax,unwind,loosen up",1,23,"cause",200026378,"verb.body",29,"v","relax#1(relax%2:29:00::),unwind#3(unwind%2:29:00::),decompress#3(decompress%2:29:00::),loosen up#4(loosen_up%2:29:00::),unbend#5(unbend%2:29:01::),slow down#5(slow_down%2:29:00::)","become less tense, rest, or take one's ease","He relaxed in the hot tub|Let's all relax after a hard day's work","relax,unwind,decompress,loosen up,unbend,slow down"
