"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"iraq",108847842,2,"noun.location",15,"n","Al-Iraq#1(al-iraq%1:15:00::),Republic of Iraq#1(republic_of_iraq%1:15:00::),Iraq#1(iraq%1:15:00::),Irak#1(irak%1:15:00::)","a republic in the Middle East in western Asia; the ancient civilization of Mesopotamia was in the area now known as Iraq","","Al-Iraq,Republic of Iraq,Iraq,Irak",1,94,"domain member region",107951804,"noun.group",14,"n","Abu Nidal Organization#1(abu_nidal_organization%1:14:00::),ANO#1(ano%1:14:00::),Arab Revolutionary Brigades#1(arab_revolutionary_brigades%1:14:00::),Revolutionary Organization of Socialist Muslims#1(revolutionary_organization_of_socialist_muslims%1:14:00::),Fatah Revolutionary Council#1(fatah_revolutionary_council%1:14:00::),Fatah-RC#1(fatah-rc%1:14:00::),Black September#1(black_september%1:14:00::)","a Palestinian international terrorist organization that split from the PLO in 1974; has conducted terrorist attacks in 20 countries","in the 1980s the Fatah-RC was considered the most dangerous and murderous Palestinian terror group","Abu Nidal Organization,ANO,Arab Revolutionary Brigades,Revolutionary Organization of Socialist Muslims,Fatah Revolutionary Council,Fatah-RC,Black September"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",104184585,"noun.artifact",6,"n","slop bowl#1(slop_bowl%1:06:00::),slop basin#1(slop_basin%1:06:00::)","a bowl into which the dregs of teacups and coffee cups are emptied at the table","","slop bowl,slop basin"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",100819152,"noun.act",4,"n","fire watching#1(fire_watching%1:04:00::)","(during World War II in Britain) watching for fires started by bombs that dropped from the sky","","fire watching"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",110639700,"noun.person",18,"n","Thatcherite#1(thatcherite%1:18:00::)","an advocate of Thatcherism","","Thatcherite"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",103449279,"noun.artifact",6,"n","gymslip#1(gymslip%1:06:00::)","a sleeveless tunic worn by English girls as part of a school uniform","","gymslip"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",113587449,"noun.quantity",23,"n","perch#2(perch%1:23:01::),rod#3(rod%1:23:01::),pole#4(pole%1:23:01::)","a linear measure of 16.5 feet","","perch,rod,pole"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",101089648,"noun.act",4,"n","national assistance#1(national_assistance%1:04:00::),supplementary benefit#1(supplementary_benefit%1:04:00::),social assistance#1(social_assistance%1:04:00::)","benefits paid to bring incomes up to minimum levels established by law","","national assistance,supplementary benefit,social assistance"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",103669424,"noun.artifact",6,"n","mack#1(mack%1:06:00::),mac#1(mac%1:06:00::),mackintosh#2(mackintosh%1:06:01::),macintosh#2(macintosh%1:06:00::)","a waterproof raincoat made of rubberized fabric","","mack,mac,mackintosh,macintosh"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",100480767,"noun.act",4,"n","fives#1(fives%1:04:00::)","a game resembling handball; played on a court with a front wall and two side walls","","fives"
"united kingdom of great britain and northern ireland",108793769,,"noun.location",15,"n","Britain#1(britain%1:15:00::),Great Britain#1(great_britain%1:15:01::),United Kingdom of Great Britain and Northern Ireland#1(united_kingdom_of_great_britain_and_northern_ireland%1:15:00::),UK#1(uk%1:15:00::),United Kingdom#1(united_kingdom%1:15:00::),U.K.#1(u.k.%1:15:00::)","a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom","","Britain,Great Britain,United Kingdom of Great Britain and Northern Ireland,UK,United Kingdom,U.K.",1,94,"domain member region",103377112,"noun.artifact",6,"n","front bench#1(front_bench%1:06:00::)","any of the front seats in the House of Commons that are reserved for ministers or former ministers","","front bench"
