"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"plural",106230167,,"noun.communication",10,"n","plural form#1(plural_form%1:10:00::),plural#1(plural%1:10:00::)","the form of a word that is used to denote more than one","","plural form,plural",1,96,"domain member usage",113198081,"noun.possession",21,"n","spoil#1(spoil%1:21:00::)","(usually plural) valuables taken by violence (especially in war)","to the victor belong the spoils of the enemy","spoil"
"lingo",107086837,,"noun.communication",10,"n","argot#1(argot%1:10:00::),lingo#1(lingo%1:10:00::),patois#1(patois%1:10:01::),jargon#1(jargon%1:10:00::),vernacular#1(vernacular%1:10:01::),slang#2(slang%1:10:00::),cant#3(cant%1:10:00::)","a characteristic language of a particular group (as among thieves)","they don't speak our lingo","argot,lingo,patois,jargon,vernacular,slang,cant",1,96,"domain member usage",100857806,"noun.act",4,"n","jacking off#1(jacking_off%1:04:00::),wank#1(wank%1:04:00::),hand job#1(hand_job%1:04:00::),jerking off#1(jerking_off%1:04:00::)","slang for masturbation","","jacking off,wank,hand job,jerking off"
"patois",107086837,,"noun.communication",10,"n","argot#1(argot%1:10:00::),lingo#1(lingo%1:10:00::),patois#1(patois%1:10:01::),jargon#1(jargon%1:10:00::),vernacular#1(vernacular%1:10:01::),slang#2(slang%1:10:00::),cant#3(cant%1:10:00::)","a characteristic language of a particular group (as among thieves)","they don't speak our lingo","argot,lingo,patois,jargon,vernacular,slang,cant",1,96,"domain member usage",100857806,"noun.act",4,"n","jacking off#1(jacking_off%1:04:00::),wank#1(wank%1:04:00::),hand job#1(hand_job%1:04:00::),jerking off#1(jerking_off%1:04:00::)","slang for masturbation","","jacking off,wank,hand job,jerking off"
"colloquialism",107004049,,"noun.communication",10,"n","colloquialism#1(colloquialism%1:10:00::)","a colloquial expression; characteristic of spoken or written communication that seeks to imitate informal speech","","colloquialism",1,96,"domain member usage",301278023,"adj.all",0,"s","dicky#1(dicky%5:00:00:impaired:00),dickey#1(dickey%5:00:00:impaired:00)","(British informal) faulty","I've got this dicky heart","dicky,dickey"
"plural form",106230167,,"noun.communication",10,"n","plural form#1(plural_form%1:10:00::),plural#1(plural%1:10:00::)","the form of a word that is used to denote more than one","","plural form,plural",1,96,"domain member usage",103181964,"noun.artifact",6,"n","digs#1(digs%1:06:01::),diggings#1(diggings%1:06:01::)","an excavation for ore or precious stones or for archaeology","","digs,diggings"
"colloquialism",107004049,,"noun.communication",10,"n","colloquialism#1(colloquialism%1:10:00::)","a colloquial expression; characteristic of spoken or written communication that seeks to imitate informal speech","","colloquialism",1,96,"domain member usage",301782379,"adj.all",0,"s","mind-blowing#1(mind-blowing%5:00:00:psychoactive:00),mind-bending#1(mind-bending%5:00:00:psychoactive:00)","intensely affecting the mind especially in producing hallucinations","","mind-blowing,mind-bending"
"vernacular",107086837,,"noun.communication",10,"n","argot#1(argot%1:10:00::),lingo#1(lingo%1:10:00::),patois#1(patois%1:10:01::),jargon#1(jargon%1:10:00::),vernacular#1(vernacular%1:10:01::),slang#2(slang%1:10:00::),cant#3(cant%1:10:00::)","a characteristic language of a particular group (as among thieves)","they don't speak our lingo","argot,lingo,patois,jargon,vernacular,slang,cant",1,96,"domain member usage",301133335,"adj.all",0,"s","uncool#1(uncool%5:00:00:bad:00)","(spoken slang) unfashionable and boring","","uncool"
"jargon",107086837,1,"noun.communication",10,"n","argot#1(argot%1:10:00::),lingo#1(lingo%1:10:00::),patois#1(patois%1:10:01::),jargon#1(jargon%1:10:00::),vernacular#1(vernacular%1:10:01::),slang#2(slang%1:10:00::),cant#3(cant%1:10:00::)","a characteristic language of a particular group (as among thieves)","they don't speak our lingo","argot,lingo,patois,jargon,vernacular,slang,cant",1,96,"domain member usage",301133335,"adj.all",0,"s","uncool#1(uncool%5:00:00:bad:00)","(spoken slang) unfashionable and boring","","uncool"
"slang",107086837,,"noun.communication",10,"n","argot#1(argot%1:10:00::),lingo#1(lingo%1:10:00::),patois#1(patois%1:10:01::),jargon#1(jargon%1:10:00::),vernacular#1(vernacular%1:10:01::),slang#2(slang%1:10:00::),cant#3(cant%1:10:00::)","a characteristic language of a particular group (as among thieves)","they don't speak our lingo","argot,lingo,patois,jargon,vernacular,slang,cant",2,96,"domain member usage",301133335,"adj.all",0,"s","uncool#1(uncool%5:00:00:bad:00)","(spoken slang) unfashionable and boring","","uncool"
"plural form",106230167,,"noun.communication",10,"n","plural form#1(plural_form%1:10:00::),plural#1(plural%1:10:00::)","the form of a word that is used to denote more than one","","plural form,plural",1,96,"domain member usage",104213806,"noun.artifact",6,"n","eyeglasses#1(eyeglasses%1:06:00::),spectacles#1(spectacles%1:06:00::),specs#1(specs%1:06:00::),glasses#1(glasses%1:06:00::)","(plural) optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision","","eyeglasses,spectacles,specs,glasses"
