"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"loss",107263067,,"noun.event",11,"n","going#2(going%1:11:00::),passing#2(passing%1:11:00::),expiration#2(expiration%1:11:00::),exit#2(exit%1:11:00::),departure#3(departure%1:11:00::),release#6(release%1:11:00::),loss#8(loss%1:11:02::)","euphemistic expressions for death","thousands mourned his passing","going,passing,expiration,exit,departure,release,loss",8,95,"domain usage",106540642,"noun.communication",10,"n","euphemism#1(euphemism%1:10:00::)","an inoffensive or indirect expression that is substituted for one that is considered offensive or too harsh","","euphemism"
"neutralization",100235564,,"noun.act",4,"n","neutralisation#2(neutralisation%1:04:02::),neutralization#3(neutralization%1:04:02::)","(euphemism) the removal of a threat by killing or destroying it (especially in a covert operation or military operation)","","neutralisation,neutralization",3,95,"domain usage",106540642,"noun.communication",10,"n","euphemism#1(euphemism%1:10:00::)","an inoffensive or indirect expression that is substituted for one that is considered offensive or too harsh","","euphemism"
"bone-lazy",300295329,,"adj.all",0,"s","bone-lazy#1(bone-lazy%5:00:00:idle:00),bone-idle#1(bone-idle%5:00:00:idle:00)","constitutionally lazy or idle","","bone-lazy,bone-idle",1,95,"domain usage",107004049,"noun.communication",10,"n","colloquialism#1(colloquialism%1:10:00::)","a colloquial expression; characteristic of spoken or written communication that seeks to imitate informal speech","","colloquialism"
"bare-ass",300460299,,"adj.all",0,"s","bare-ass#1(bare-ass%5:00:00:unclothed:00),bare-assed#1(bare-assed%5:00:00:unclothed:00),in the altogether#1(in_the_altogether%5:00:00:unclothed:00),in the buff#1(in_the_buff%5:00:00:unclothed:00),stark naked#1(stark_naked%5:00:00:unclothed:00),peeled#1(peeled%5:00:00:unclothed:00),naked as a jaybird#1(naked_as_a_jaybird%5:00:00:unclothed:00),in the raw#1(in_the_raw%5:00:00:unclothed:00),raw#13(raw%5:00:00:unclothed:00)","(used informally) completely unclothed","","bare-ass,bare-assed,in the altogether,in the buff,stark naked,peeled,naked as a jaybird,in the raw,raw",1,95,"domain usage",107004049,"noun.communication",10,"n","colloquialism#1(colloquialism%1:10:00::)","a colloquial expression; characteristic of spoken or written communication that seeks to imitate informal speech","","colloquialism"
"crazy",300889791,,"adj.all",0,"s","dotty#2(dotty%5:00:00:enthusiastic:00),gaga#2(gaga%5:00:00:enthusiastic:00),crazy#5(crazy%5:00:00:enthusiastic:00),wild#11(wild%5:00:00:enthusiastic:00)","intensely enthusiastic about or preoccupied with","crazy about cars and racing|they are dotty about each other|gaga over the rock group's new album","dotty,gaga,crazy,wild",5,95,"domain usage",107004049,"noun.communication",10,"n","colloquialism#1(colloquialism%1:10:00::)","a colloquial expression; characteristic of spoken or written communication that seeks to imitate informal speech","","colloquialism"
"hotness",113976419,,"noun.state",26,"n","horniness#1(horniness%1:26:00::),hot pants#1(hot_pants%1:26:00::),hotness#2(hotness%1:26:00::)","a state of sexual arousal","","horniness,hot pants,hotness",2,95,"domain usage",107004049,"noun.communication",10,"n","colloquialism#1(colloquialism%1:10:00::)","a colloquial expression; characteristic of spoken or written communication that seeks to imitate informal speech","","colloquialism"
"clone",110465829,,"noun.person",18,"n","dead ringer#1(dead_ringer%1:18:00::),clone#1(clone%1:18:00::),ringer#2(ringer%1:18:01::)","a person who is almost identical to another","","dead ringer,clone,ringer",1,95,"domain usage",107004049,"noun.communication",10,"n","colloquialism#1(colloquialism%1:10:00::)","a colloquial expression; characteristic of spoken or written communication that seeks to imitate informal speech","","colloquialism"
"mopes",114343375,,"noun.state",26,"n","mopes#1(mopes%1:26:00::),dumps#1(dumps%1:26:00::)","an informal expression for a mildly depressed state","in the dumps|have the mopes","mopes,dumps",1,95,"domain usage",107004049,"noun.communication",10,"n","colloquialism#1(colloquialism%1:10:00::)","a colloquial expression; characteristic of spoken or written communication that seeks to imitate informal speech","","colloquialism"
"poove",110010566,,"noun.person",18,"n","fag#1(fag%1:18:00::),faggot#1(faggot%1:18:00::),fagot#1(fagot%1:18:00::),nance#1(nance%1:18:00::),poof#1(poof%1:18:00::),pouf#1(pouf%1:18:00::),poove#1(poove%1:18:00::),queer#1(queer%1:18:00::),fairy#2(fairy%1:18:01::),pansy#3(pansy%1:18:00::),queen#6(queen%1:18:02::)","offensive term for a homosexual man","","fag,faggot,fagot,nance,poof,pouf,poove,queer,fairy,pansy,queen",1,95,"domain usage",106653352,"noun.communication",10,"n","derogation#1(derogation%1:10:00::),disparagement#1(disparagement%1:10:00::),depreciation#3(depreciation%1:10:00::)","a communication that belittles somebody or something","","derogation,disparagement,depreciation"
"rich",108111182,,"noun.group",14,"n","rich people#1(rich_people%1:14:00::),rich#1(rich%1:14:00::)","people who have possessions and wealth (considered as a group)","only the very rich benefit from this legislation","rich people,rich",1,95,"domain usage",106230167,"noun.communication",10,"n","plural form#1(plural_form%1:10:00::),plural#1(plural%1:10:00::)","the form of a word that is used to denote more than one","","plural form,plural"
"parallel bars",103840086,1,"noun.artifact",6,"n","parallel bars#1(parallel_bars%1:06:00::),bars#1(bars%1:06:00::)","gymnastic apparatus consisting of two parallel wooden rods supported on uprights","","parallel bars,bars",1,95,"domain usage",106230167,"noun.communication",10,"n","plural form#1(plural_form%1:10:00::),plural#1(plural%1:10:00::)","the form of a word that is used to denote more than one","","plural form,plural"
"het up",300858587,,"adj.all",0,"s","het up#2(het_up%5:00:00:emotional:00)","worked up emotionally by anger or excitement","was terribly het up over the killing of the eagle|got really het up over the new taxes|he was suddenly het up about racing cars","het up",2,95,"domain usage",107004049,"noun.communication",10,"n","colloquialism#1(colloquialism%1:10:00::)","a colloquial expression; characteristic of spoken or written communication that seeks to imitate informal speech","","colloquialism"
"anxious",300814908,3,"adj.all",0,"s","anxious#1(anxious%5:00:00:eager:00),dying#2(dying%5:00:00:eager:00)","eagerly desirous","anxious to see the new show at the museum|dying to hear who won","anxious,dying",1,95,"domain usage",107004049,"noun.communication",10,"n","colloquialism#1(colloquialism%1:10:00::)","a colloquial expression; characteristic of spoken or written communication that seeks to imitate informal speech","","colloquialism"
"like thunder",400169587,2,"adv.all",2,"r","like crazy#1(like_crazy%4:02:00::),like hell#1(like_hell%4:02:00::),like thunder#1(like_thunder%4:02:00::),like sin#1(like_sin%4:02:00::),like the devil#1(like_the_devil%4:02:00::),like mad#1(like_mad%4:02:00::)","(informal) with great speed or effort or intensity; used for emphasis","drove like crazy|worked like hell to get the job done|this sprain hurts like hell|work like thunder|fought like the devil|ran like sin for the storm cellar","like crazy,like hell,like thunder,like sin,like the devil,like mad",1,95,"domain usage",107004049,"noun.communication",10,"n","colloquialism#1(colloquialism%1:10:00::)","a colloquial expression; characteristic of spoken or written communication that seeks to imitate informal speech","","colloquialism"
"wrinkle",201280906,1,"verb.contact",35,"v","crease#1(crease%2:35:00::),crinkle#1(crinkle%2:35:00::),crisp#1(crisp%2:35:00::),wrinkle#2(wrinkle%2:35:00::),ruckle#2(ruckle%2:35:00::),scrunch up#2(scrunch_up%2:35:00::),scrunch#3(scrunch%2:35:00::)","make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in; `crisp' is archaic","The dress got wrinkled|crease the paper like this to make a crane","crease,crinkle,crisp,wrinkle,ruckle,scrunch up,scrunch",2,95,"domain usage",107002343,"noun.communication",10,"n","archaism#1(archaism%1:10:00::),archaicism#1(archaicism%1:10:00::)","the use of an archaic expression","","archaism,archaicism"
"greaseball",109650588,,"noun.person",18,"n","dago#1(dago%1:18:00::),ginzo#1(ginzo%1:18:00::),wop#1(wop%1:18:00::),greaseball#1(greaseball%1:18:00::),Guinea#2(guinea%1:18:00::)","(ethnic slur) offensive term for a person of Italian descent","","dago,ginzo,wop,greaseball,Guinea",1,95,"domain usage",106654949,"noun.communication",10,"n","ethnic slur#1(ethnic_slur%1:10:00::)","a slur on someone's race or language","","ethnic slur"
"liabilities",113332030,,"noun.possession",21,"n","liabilities#1(liabilities%1:21:00::)","anything that is owed to someone else","","liabilities",1,95,"domain usage",106230167,"noun.communication",10,"n","plural form#1(plural_form%1:10:00::),plural#1(plural%1:10:00::)","the form of a word that is used to denote more than one","","plural form,plural"
"burnup",107389417,,"noun.event",11,"n","burnup#1(burnup%1:11:00::)","a high-speed motorcycle race on a public road","","burnup",1,95,"domain usage",107086837,"noun.communication",10,"n","argot#1(argot%1:10:00::),lingo#1(lingo%1:10:00::),patois#1(patois%1:10:01::),jargon#1(jargon%1:10:00::),vernacular#1(vernacular%1:10:01::),slang#2(slang%1:10:00::),cant#3(cant%1:10:00::)","a characteristic language of a particular group (as among thieves)","they don't speak our lingo","argot,lingo,patois,jargon,vernacular,slang,cant"
"the trots",114310601,,"noun.state",26,"n","the trots#1(the_trots%1:26:00::),the shits#1(the_shits%1:26:00::)","obscene terms for diarrhea","","the trots,the shits",1,95,"domain usage",107086837,"noun.communication",10,"n","argot#1(argot%1:10:00::),lingo#1(lingo%1:10:00::),patois#1(patois%1:10:01::),jargon#1(jargon%1:10:00::),vernacular#1(vernacular%1:10:01::),slang#2(slang%1:10:00::),cant#3(cant%1:10:00::)","a characteristic language of a particular group (as among thieves)","they don't speak our lingo","argot,lingo,patois,jargon,vernacular,slang,cant"
"hooey",106545505,,"noun.communication",10,"n","hooey#1(hooey%1:10:00::),stuff and nonsense#1(stuff_and_nonsense%1:10:00::),poppycock#1(poppycock%1:10:00::),stuff#4(stuff%1:10:00::)","senseless talk","don't give me that stuff","hooey,stuff and nonsense,poppycock,stuff",1,95,"domain usage",107086837,"noun.communication",10,"n","argot#1(argot%1:10:00::),lingo#1(lingo%1:10:00::),patois#1(patois%1:10:01::),jargon#1(jargon%1:10:00::),vernacular#1(vernacular%1:10:01::),slang#2(slang%1:10:00::),cant#3(cant%1:10:00::)","a characteristic language of a particular group (as among thieves)","they don't speak our lingo","argot,lingo,patois,jargon,vernacular,slang,cant"
"bugger all",113677815,,"noun.quantity",23,"n","bugger all#1(bugger_all%1:23:00::),sweet Fanny Adams#1(sweet_fanny_adams%1:23:00::),fuck all#1(fuck_all%1:23:00::),Fanny Adams#1(fanny_adams%1:23:00::)","little or nothing at all","I asked for a raise and they gave me bugger-all|I know sweet Fanny Adams about surgery","bugger all,sweet Fanny Adams,fuck all,Fanny Adams",1,95,"domain usage",107053904,"noun.communication",10,"n","vulgarism#1(vulgarism%1:10:00::),dirty word#1(dirty_word%1:10:00::),obscenity#2(obscenity%1:10:00::),smut#4(smut%1:10:00::),filth#4(filth%1:10:00::)","an offensive or indecent word or phrase","","vulgarism,dirty word,obscenity,smut,filth"
"big gun",109788040,,"noun.person",18,"n","big cheese#1(big_cheese%1:18:00::),big deal#1(big_deal%1:18:00::),big enchilada#1(big_enchilada%1:18:00::),head honcho#1(head_honcho%1:18:00::),big gun#1(big_gun%1:18:00::),big shot#1(big_shot%1:18:00::),big wheel#1(big_wheel%1:18:00::),big fish#1(big_fish%1:18:00::)","an important influential person","he thinks he's a big shot|she's a big deal in local politics|the Qaeda commander is a very big fish","big cheese,big deal,big enchilada,head honcho,big gun,big shot,big wheel,big fish",1,95,"domain usage",107004049,"noun.communication",10,"n","colloquialism#1(colloquialism%1:10:00::)","a colloquial expression; characteristic of spoken or written communication that seeks to imitate informal speech","","colloquialism"
