"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"bid",202302974,6,"verb.possession",40,"v","bid#1(bid%2:40:00::),tender#2(tender%2:40:02::),offer#7(offer%2:40:01::)","propose a payment","The Swiss dealer offered $2 million for the painting","bid,tender,offer",1,21,"entail",202264017,"verb.possession",40,"v","dicker#1(dicker%2:40:00::),bargain#1(bargain%2:40:00::)","negotiate the terms of an exchange","We bargained for a beautiful rug in the bazaar","dicker,bargain"
"speed skate",201941347,,"verb.motion",38,"v","speed skate#1(speed_skate%2:38:00::)","race on skates","","speed skate",1,21,"entail",201940126,"verb.motion",38,"v","skate#1(skate%2:38:00::)","move along on skates","The Dutch often skate along the canals in winter","skate"
"argue",200775617,17,"verb.communication",32,"v","argue#2(argue%2:32:00::),contend#2(contend%2:32:01::),debate#4(debate%2:32:01::),fence#5(fence%2:32:00::)","have an argument about something","","argue,contend,debate,fence",2,21,"entail",200806604,"verb.communication",32,"v","disagree#1(disagree%2:32:00::),take issue#1(take_issue%2:32:00::),differ#2(differ%2:32:00::),dissent#3(dissent%2:32:01::)","be of different opinions","I beg to differ!|She disagrees with her husband on many questions","disagree,take issue,differ,dissent"
"scale down",200429291,,"verb.change",30,"v","scale down#1(scale_down%2:30:00::)","reduce proportionally","The model is scaled down","scale down",1,21,"entail",200151509,"verb.change",30,"v","decrease#1(decrease%2:30:00::),lessen#1(lessen%2:30:00::),diminish#1(diminish%2:30:00::),fall#11(fall%2:30:06::)","decrease in size, extent, or range","The cabin pressure fell dramatically|her weight fell to under a hundred pounds|his voice fell to a whisper|The amount of homework decreased towards the end of the semester","decrease,lessen,diminish,fall"
"hold",202503332,1,"verb.social",41,"v","book#2(book%2:41:01::),reserve#4(reserve%2:41:00::),hold#19(hold%2:41:00::)","arrange for and reserve (something for someone else) in advance","reserve me a seat on a flight|The agent booked tickets to the show for the whole family|please hold a table at Maxim's","book,reserve,hold",19,21,"entail",202242933,"verb.possession",40,"v","secure#1(secure%2:40:00::),procure#1(procure%2:40:00::)","get by special effort","He procured extra cigarettes even though they were rationed","secure,procure"
"gainsay",200870932,,"verb.communication",32,"v","challenge#1(challenge%2:32:01::),gainsay#1(gainsay%2:32:00::),dispute#1(dispute%2:32:00::)","take exception to","She challenged his claims","challenge,gainsay,dispute",1,21,"entail",200869215,"verb.communication",32,"v","call into question#1(call_into_question%2:32:00::),question#1(question%2:32:01::),oppugn#1(oppugn%2:32:00::)","challenge the accuracy, probity, or propriety of","We must question your judgment in this matter","call into question,question,oppugn"
"illuminate",201687191,,"verb.creation",36,"v","illuminate#3(illuminate%2:36:00::)","add embellishments and paintings to (medieval manuscripts)","","illuminate",3,21,"entail",201688096,"verb.creation",36,"v","paint#3(paint%2:36:00::)","make a painting of","He painted his mistress many times","paint"
"intimidate",201823053,1,"verb.emotion",37,"v","intimidate#2(intimidate%2:37:01::)","to compel or deter by or as if by threats","","intimidate",2,21,"entail",200872019,"verb.communication",32,"v","warn#1(warn%2:32:00::)","notify of danger, potential harm, or risk","The director warned him that he might be fired|The doctor warned me about the dangers of smoking","warn"
"work over",201399407,,"verb.contact",35,"v","beat up#1(beat_up%2:35:01::),work over#1(work_over%2:35:00::),beat#2(beat%2:35:01::)","give a beating to; subject to a beating, either as a punishment or as an act of aggression","Thugs beat him up when he walked down the street late at night|The teacher used to beat the students","beat up,work over,beat",1,21,"entail",201402241,"verb.contact",35,"v","hit#3(hit%2:35:00::)","deal a blow to, either with the hand or with an instrument","He hit her hard in the face","hit"
"heal",200081478,,"verb.body",29,"v","cure#1(cure%2:29:00::),bring around#2(bring_around%2:29:01::),heal#3(heal%2:29:01::)","provide a cure for, make healthy again","The treatment cured the boy's acne|The quack pretended to heal patients but never managed to","cure,bring around,heal",3,21,"entail",200078513,"verb.body",29,"v","treat#3(treat%2:29:00::),care for#3(care_for%2:29:00::)","provide treatment for","The doctor treated my broken leg|The patient must be treated right away or she will die|Treat the infection with antibiotics|The nurses cared for the bomb victims","treat,care for"
"last",202623441,7,"verb.stative",42,"v","live on#1(live_on%2:42:00::),survive#1(survive%2:42:01::),last#2(last%2:42:01::),endure#3(endure%2:42:00::),live#3(live%2:42:04::),hold out#5(hold_out%2:42:00::),hold up#5(hold_up%2:42:00::),go#15(go%2:42:14::)","continue to live and avoid dying","We went without water and food for 3 days|These superstitions survive in the backwaters of America|how long can a person last without food and water?|One crash victim died, the other lived|The race car driver lived through several very serious accidents","live on,survive,last,endure,live,hold out,hold up,go",2,21,"entail",202619455,"verb.stative",42,"v","live#5(live%2:42:00::),be#11(be%2:42:01::)","have life, be alive","My grandfather lived until the end of war|Our great leader is no more","live,be"
"force",201875504,13,"verb.motion",38,"v","push#1(push%2:38:00::),force#3(force%2:38:00::)","move with force","He pushed the table into a corner","push,force",3,21,"entail",201449245,"verb.contact",35,"v","press#1(press%2:35:00::)","exert pressure or force to or upon","He pressed down on the boards|press your thumb on this spot","press"
"score",201114235,18,"verb.competition",33,"v","rack up#1(rack_up%2:33:01::),score#1(score%2:33:00::),tally#2(tally%2:33:00::),hit#8(hit%2:33:02::)","gain points in a game","The home team scored many times|He hit a home run|He hit .300 in the past season","rack up,score,tally,hit",1,21,"entail",201074651,"verb.competition",33,"v","compete#1(compete%2:33:00::),vie#1(vie%2:33:00::),contend#5(contend%2:33:00::)","compete for something; engage in a contest; measure oneself against others","","compete,vie,contend"
"hold over",202648137,,"verb.stative",42,"v","defer#1(defer%2:42:00::),prorogue#1(prorogue%2:42:00::),set back#1(set_back%2:42:01::),shelve#1(shelve%2:42:00::),put off#1(put_off%2:42:00::),table#1(table%2:42:00::),postpone#1(postpone%2:42:00::),put over#2(put_over%2:42:00::),remit#2(remit%2:42:00::),hold over#5(hold_over%2:42:02::)","hold back to a later time","let's postpone the exam","defer,prorogue,set back,shelve,put off,table,postpone,put over,remit,hold over",5,21,"entail",202482541,"verb.social",41,"v","call off#1(call_off%2:41:00::),cancel#1(cancel%2:41:03::),scrub#3(scrub%2:41:00::),scratch#4(scratch%2:41:00::)","postpone indefinitely or annul something that was scheduled","Call off the engagement|cancel the dinner party|we had to scrub our vacation plans|scratch that meeting--the chair is ill","call off,cancel,scrub,scratch"
"get",201435296,45,"verb.contact",35,"v","fetch#1(fetch%2:35:00::),bring#4(bring%2:35:00::),get#6(get%2:35:03::),convey#7(convey%2:35:00::)","go or come after and bring or take back","Get me those books over there, please|Could you bring the wine?|The dog fetched the hat","fetch,bring,get,convey",6,21,"entail",201852720,"verb.motion",38,"v","come#1(come%2:38:00::),come up#3(come_up%2:38:02::)","move toward, travel toward something or somebody or approach something or somebody","Come with me to the Casbah|come down here!|come out of the closet!|come into the room|He came singing down the road","come,come up"
"walk",201908455,184,"verb.motion",38,"v","walk#1(walk%2:38:00::)","use one's feet to advance; advance by steps","Walk, don't run!|She walks with a slight limp|The patient cannot walk yet|Walk over to the cabinet|We walked instead of driving","walk",1,21,"entail",201932305,"verb.motion",38,"v","step#1(step%2:38:00::)","shift or move by taking a step","step back","step"
"riffle",202043231,,"verb.motion",38,"v","cockle#1(cockle%2:38:00::),ruffle#1(ruffle%2:38:00::),undulate#1(undulate%2:38:01::),ripple#1(ripple%2:38:00::),riffle#3(riffle%2:38:00::)","stir up (water) so as to form ripples","","cockle,ruffle,undulate,ripple,riffle",3,21,"entail",201280453,"verb.contact",35,"v","fold#1(fold%2:35:00::),fold up#1(fold_up%2:35:00::),turn up#2(turn_up%2:35:00::)","bend or lay so that one part covers the other","fold up the newspaper|turn up your collar","fold,fold up,turn up"
"cut short",200318042,,"verb.change",30,"v","truncate#3(truncate%2:30:00::),cut short#3(cut_short%2:30:03::)","make shorter as if by cutting off","truncate a word|Erosion has truncated the ridges of the mountains","truncate,cut short",3,21,"entail",201301769,"verb.contact",35,"v","chop off#1(chop_off%2:35:00::),lop off#1(lop_off%2:35:00::),cut off#3(cut_off%2:35:00::)","remove by or as if by cutting","cut off the ear|lop off the dead branch","chop off,lop off,cut off"
"snoop",200787492,1,"verb.communication",32,"v","snoop#1(snoop%2:32:00::),sleuth#1(sleuth%2:32:00::),spy#2(spy%2:32:01::),stag#3(stag%2:32:01::)","watch, observe, or inquire secretly","","snoop,sleuth,spy,stag",1,21,"entail",200787764,"verb.communication",32,"v","enquire#2(enquire%2:32:02::),investigate#2(investigate%2:32:01::),inquire#3(inquire%2:32:02::)","conduct an inquiry or investigation of","The district attorney's office investigated reports of possible irregularities|inquire into the disappearance of the rich old lady","enquire,investigate,inquire"
"withdraw",202432715,,"verb.social",41,"v","adjourn#2(adjourn%2:41:00::),retire#5(retire%2:41:00::),withdraw#7(withdraw%2:41:00::)","break from a meeting or gathering","We adjourned for lunch|The men retired to the library","adjourn,retire,withdraw",7,21,"entail",202433152,"verb.social",41,"v","foregather#1(foregather%2:41:00::),forgather#1(forgather%2:41:00::),gather#2(gather%2:41:00::),assemble#2(assemble%2:41:00::),meet#5(meet%2:41:00::)","collect in one place","We assembled in the church basement|Let's gather in the dining room","foregather,forgather,gather,assemble,meet"
