"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"marched upon",303163072,1,"adj.ppl",44,"a","marched upon#1(marched_upon%3:44:00::)","being or having been trodden or marched on","","marched upon",1,71,"participle",201999967,"verb.motion",38,"v","march#1(march%2:38:01::),process#5(process%2:38:00::)","march in a procession","They processed into the dining room","march,process"
"collected",303160422,,"adj.ppl",44,"a","gathered#1(gathered%3:44:00::),collected#1(collected%3:44:00::)","brought together in one place","the collected works of Milton|the gathered folds of the skirt","gathered,collected",1,71,"participle",201382846,"verb.contact",35,"v","gather#1(gather%2:35:00::),pull together#1(pull_together%2:35:00::),collect#3(collect%2:35:00::),garner#3(garner%2:35:00::)","assemble or get together","gather some stones|pull your thoughts together","gather,pull together,collect,garner"
"pasteurized",303163926,,"adj.ppl",44,"a","pasteurized#1(pasteurized%3:44:00::),pasteurised#1(pasteurised%3:44:00::)","having been subjected to pasteurization in order to halt fermentation","","pasteurized,pasteurised",1,71,"participle",200365313,"verb.change",30,"v","pasteurize#1(pasteurize%2:30:00::),pasteurise#1(pasteurise%2:30:00::)","heat food in order to kill harmful microorganisms","pasteurize milk","pasteurize,pasteurise"
"shrieked",303166156,1,"adj.ppl",44,"a","shrieked#1(shrieked%3:44:00::)","uttered in a shrill scream as of pain or terror","","shrieked",1,71,"participle",200916515,"verb.communication",32,"v","pipe#1(pipe%2:32:00::),shrill#1(shrill%2:32:00::),shriek#1(shriek%2:32:00::),pipe up#2(pipe_up%2:32:01::)","utter a shrill cry","","pipe,shrill,shriek,pipe up"
"ungathered",303160640,,"adj.ppl",44,"a","uncollected#1(uncollected%3:44:00::),ungathered#1(ungathered%3:44:00::)","not brought together in one place","uncollected garbage in the streets","uncollected,ungathered",1,71,"participle",201382846,"verb.contact",35,"v","gather#1(gather%2:35:00::),pull together#1(pull_together%2:35:00::),collect#3(collect%2:35:00::),garner#3(garner%2:35:00::)","assemble or get together","gather some stones|pull your thoughts together","gather,pull together,collect,garner"
"squashed",303166646,1,"adj.ppl",44,"a","squashed#1(squashed%3:44:00::)","that has been violently compressed","the squashed looking nakedness of the fledgling birds","squashed",1,71,"participle",201596396,"verb.contact",35,"v","squash#1(squash%2:35:00::),squeeze#1(squeeze%2:35:05::),mash#1(mash%2:35:00::),crush#2(crush%2:35:00::),squelch#4(squelch%2:35:00::)","to compress with violence, out of natural shape or condition","crush an aluminum can|squeeze a lemon","squash,squeeze,mash,crush,squelch"
"cantering",303160296,1,"adj.ppl",44,"a","cantering#1(cantering%3:44:00::)","riding at a gait between a trot and a gallop","the cantering soldiers","cantering",1,71,"participle",201962399,"verb.motion",38,"v","canter#1(canter%2:38:00::)","ride at a canter","The men cantered away","canter"
"unavenged",303159911,,"adj.ppl",44,"a","unavenged#1(unavenged%3:44:00::)","for which vengeance has not been taken","an unavenged murder","unavenged",1,71,"participle",201155946,"verb.competition",33,"v","avenge#1(avenge%2:33:00::),revenge#1(revenge%2:33:00::),retaliate#1(retaliate%2:33:01::)","take revenge for a perceived wrong","He wants to avenge the murder of his brother","avenge,revenge,retaliate"
"operating",303163488,2,"adj.ppl",44,"a","operating#1(operating%3:44:00::)","involved in a kind of operation","the operating conditions of the oxidation pond","operating",1,71,"participle",201527823,"verb.contact",35,"v","function#1(function%2:35:00::),operate#2(operate%2:35:03::),work#4(work%2:35:02::),run#7(run%2:35:00::),go#12(go%2:35:00::)","perform as expected when applied","The washing machine won't go unless it's plugged in|Does this old car still run well?|This old radio doesn't work anymore","function,operate,work,run,go"
"ranging",303165521,2,"adj.ppl",44,"a","ranging#1(ranging%3:44:00::)","wandering freely","at night in bed...his slowly ranging thoughts...encountered her","ranging",1,71,"participle",201884705,"verb.motion",38,"v","roam#1(roam%2:38:00::),vagabond#1(vagabond%2:38:00::),wander#1(wander%2:38:00::),stray#1(stray%2:38:01::),rove#1(rove%2:38:00::),swan#2(swan%2:38:00::),range#2(range%2:38:00::),ramble#2(ramble%2:38:01::),drift#3(drift%2:38:01::),tramp#4(tramp%2:38:02::),cast#6(cast%2:38:01::),roll#12(roll%2:38:09::)","move about aimlessly or without any destination, often in search of food or employment","The gypsies roamed the woods|roving vagabonds|the wandering Jew|The cattle roam across the prairie|the laborers drift from one town to the next|They rolled from town to town","roam,vagabond,wander,stray,rove,swan,range,ramble,drift,tramp,cast,roll"
