"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"turn over",201869710,1,"verb.motion",38,"v","roll#1(roll%2:38:00::),turn over#3(turn_over%2:38:03::)","move by turning over or rotating","The child rolled down the hill|turn over on your left side","roll,turn over",3,50,"also",201871334,"verb.motion",38,"v","roll over#1(roll_over%2:38:00::)","make a rolling motion or turn","The dog rolled over","roll over"
"chase",202005090,10,"verb.motion",38,"v","chase#1(chase%2:38:00::),go after#1(go_after%2:38:01::),tail#1(tail%2:38:00::),give chase#1(give_chase%2:38:00::),dog#1(dog%2:38:00::),trail#2(trail%2:38:00::),chase after#2(chase_after%2:38:00::),track#3(track%2:38:00::),tag#4(tag%2:38:00::)","go after with the intent to catch","the dog chased the rabbit|The policeman chased the mugger down the alley","chase,go after,tail,give chase,dog,trail,chase after,track,tag",1,50,"also",202030208,"verb.motion",38,"v","tag along#1(tag_along%2:38:00::)","go along with, often uninvited","my younger brother often tagged along when I went out with my friends","tag along"
"fumble",201317313,4,"verb.contact",35,"v","fumble#1(fumble%2:35:00::),grope#1(grope%2:35:01::)","feel about uncertainly or blindly","She groped for her glasses in the darkness of the bedroom","fumble,grope",1,50,"also",201317015,"verb.contact",35,"v","scrabble#1(scrabble%2:35:13::),grope for#1(grope_for%2:35:00::)","feel searchingly","She groped for his keys in the dark","scrabble,grope for"
"draw",201450088,13,"verb.contact",35,"v","pull#1(pull%2:35:00::),draw#1(draw%2:35:03::)","cause to move by pulling","draw a wagon|pull a sled","pull,draw",1,50,"also",201353395,"verb.contact",35,"v","extract#1(extract%2:35:04::),tear out#1(tear_out%2:35:00::),rip out#1(rip_out%2:35:00::),pull out#3(pull_out%2:35:00::),pull up#4(pull_up%2:35:00::),draw out#6(draw_out%2:35:05::),take out#11(take_out%2:35:09::),pull#15(pull%2:35:10::)","remove, usually with some force or effort; also used in an abstract sense","pull weeds|extract a bad tooth|extract information from the telegram|take out a splinter","extract,tear out,rip out,pull out,pull up,draw out,take out,pull"
"turn over",201312276,1,"verb.contact",35,"v","cut into#1(cut_into%2:35:01::),delve#1(delve%2:35:00::),dig#1(dig%2:35:00::),turn over#4(turn_over%2:35:00::)","turn up, loosen, or remove earth","Dig we must|turn over the soil for aeration","cut into,delve,dig,turn over",4,50,"also",201175348,"verb.consumption",34,"v","pitch in#1(pitch_in%2:34:00::),dig in#2(dig_in%2:34:00::)","eat heartily","The food was placed on the table and the children pitched in","pitch in,dig in"
"wear",201371554,,"verb.contact",35,"v","fall apart#2(fall_apart%2:35:00::),wear out#2(wear_out%2:35:00::),bust#4(bust%2:35:00::),wear#7(wear%2:35:00::),break#42(break%2:35:00::)","go to pieces","The lawn mower finally broke|The gears wore out|The old chair finally fell apart completely","fall apart,wear out,bust,wear,break",7,50,"also",201554710,"verb.contact",35,"v","whittle away#1(whittle_away%2:35:00::),wear away#1(wear_away%2:35:02::),whittle down#1(whittle_down%2:35:00::)","cut away in small pieces","","whittle away,wear away,whittle down"
"hand",202234935,25,"verb.possession",40,"v","pass on#1(pass_on%2:40:01::),hand#1(hand%2:40:00::),turn over#1(turn_over%2:40:00::),pass#5(pass%2:40:00::),reach#8(reach%2:40:00::),give#17(give%2:40:06::)","place into the hands or custody of","hand me the spoon, please|Turn the files over to me, please|He turned over the prisoner to his lawyers","pass on,hand,turn over,pass,reach,give",1,50,"also",202205807,"verb.possession",40,"v","hand out#1(hand_out%2:40:00::),pass out#2(pass_out%2:40:00::),give out#2(give_out%2:40:00::),distribute#4(distribute%2:40:01::)","give to several people","The teacher handed out the exams","hand out,pass out,give out,distribute"
"depart",202017256,3,"verb.motion",38,"v","take off#1(take_off%2:38:00::),set off#2(set_off%2:38:00::),start out#2(start_out%2:38:00::),set forth#2(set_forth%2:38:00::),set out#3(set_out%2:38:00::),start#3(start%2:38:02::),depart#3(depart%2:38:01::),part#3(part%2:38:00::)","leave","The family took off for Florida","take off,set off,start out,set forth,set out,start,depart,part",3,50,"also",202350024,"verb.possession",40,"v","dispense with#1(dispense_with%2:40:01::),part with#1(part_with%2:40:00::),spare#3(spare%2:40:00::),give up#5(give_up%2:40:05::)","give up what is not strictly needed","he asked if they could spare one of their horses to speed his journey","dispense with,part with,spare,give up"
"eat",201168661,13,"verb.consumption",34,"v","eat#2(eat%2:34:01::)","eat a meal; take a meal","I didn't eat yet, so I gladly accept your invitation|We did not eat until 10 P.M. because there were so many phone calls","eat",2,50,"also",201199329,"verb.consumption",34,"v","eat up#1(eat_up%2:34:00::),polish off#3(polish_off%2:34:00::),finish#5(finish%2:34:00::)","finish eating all the food on one's plate or on the table","She polished off the remaining potatoes","eat up,polish off,finish"
"live",202655171,129,"verb.stative",42,"v","inhabit#1(inhabit%2:42:00::),populate#1(populate%2:42:00::),live#1(live%2:42:08::),dwell#3(dwell%2:42:00::)","be an inhabitant of or reside in","People lived in Africa millions of years ago|this kind of fish dwells near the bottom of the ocean|deer are populating the woods|The people inhabited the islands that are now deserted","inhabit,populate,live,dwell",1,50,"also",201179605,"verb.consumption",34,"v","live in#1(live_in%2:34:00::),sleep in#2(sleep_in%2:34:00::)","live in the house where one works","our babysitter lives in, as it is too far to commute for her","live in,sleep in"
