"LEMMA","POS","POLYSEMY_CNT"
"deal","v",13
"trip the light fantastic toe","v",1
"pensive","s",2
"particular","s",6
"bargain","n",2
"antiguan","a",1
"oftenness","n",1
"impregnate","v",4
"tripinnate","s",1
"introversion","n",3
"macadamia tetraphylla","n",1
"registration","n",5
"ornamentation","n",3
"agrippina","n",2
"brattice","v",1
"talkative","s",3
"litterateur","n",1
"core","n",10
"maratha","n",1
"cecil b. demille","n",1
"footsore","s",1
"coldhearted","a",1
"sylva","n",1
"blighia sapida","n",1
"craw","n",1
"triticum aestivum","n",1
"oreopteris","n",1
"music paper","n",1
"ballet mistress","n",1
"tammerfors","n",1
"crossroad","n",1
"drama","n",4
"coronary heart disease","n",1
"largemouth","n",1
"genus heterocephalus","n",1
"poniard","v",1
"james fenimore cooper","n",1
"genus hymenanthera","n",1
"geriatrics","n",1
"bunko game","n",1
"capitalise","v",6
"turning","n",6
"elegist","n",1
"conformation","n",3
"phantasmal","s",1
"image","n",9
"sentry go","n",1
"later","s",1
"make good","v",1
"derivational","a",1
"cryptic","s",3
"ghanese","a",1
"kempt","s",1
"policy","n",3
"undistinguished","s",1
"disassociate","v",1
"generalised","s",1
"rodeo rider","n",1
"pepin the short","n",1
"betula pendula","n",1
"slough off","v",2
"guacharo","n",1
"black marketeer","v",1
"floating","n",1
"jacquinia keyensis","n",1
"guide rope","n",1
"modulate","v",5
"fossa cat","n",1
"mucinoid","a",1
"raw umber","n",1
"irridentism","n",1
"dermatome","n",1
"matman","n",1
"maine","n",1
"cummings","n",1
"genus biscutella","n",1
"rosette","n",4
"scar tissue","n",1
"fish cake","n",1
"barrenness","n",2
"smidge","n",1
"fauve","n",1
"crib","n",5
"key","v",5
"reddisn-purple","s",1
"establishment","n",7
"flesh-coloured","s",1
"smolensk","n",1
"software product","n",1
"boredom","n",1
"masterpiece","n",2
"tuna oil","n",1
"suspect","n",2
"ionian","n",2
"genus chrysolepis","n",1
"tool around","v",1
"unstable","s",5
"astronomic","a",1
"capitulation","n",3
"beat back","v",1
"plunk","r",1
"hard-and-fast","s",1
"gimp","v",1
"height","n",4
"lug","v",2
"dumbstruck","s",1
"east","r",1
"untransferable","s",1
"ski mask","n",1
"pond cypress","n",1
"animalism","n",2
"chinese privet","n",1
"kyushu","n",1
"monofocal iol","n",1
"columbarium","n",3
"cuddy","n",1
"silver berry","n",2
"propitiousness","n",1
"army ant","n",1
"indonesian","n",2
"vicugna vicugna","n",1
"tishah b'av","n",1
