"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"sn",114595517,,"noun.substance",27,"n","atomic number 50#1(atomic_number_50%1:27:00::),tin#1(tin%1:27:00::),Sn#1(sn%1:27:00::)","a silvery malleable metallic element that resists corrosion; used in many alloys and to coat other metals to prevent corrosion; obtained chiefly from cassiterite where it occurs as tin oxide","","atomic number 50,tin,Sn",1,15,"substance holonym",104377131,"noun.artifact",6,"n","tinfoil#1(tinfoil%1:06:00::),tin foil#1(tin_foil%1:06:00::)","foil made of tin or an alloy of tin and lead","","tinfoil,tin foil"
"brazilwood",112424735,,"noun.plant",20,"n","brazilwood#1(brazilwood%1:20:02::)","heavy wood of various brazilwood trees; used for violin bows and as dyewoods","","brazilwood",1,15,"substance holonym",112424479,"noun.plant",20,"n","Caesalpinia echinata#1(caesalpinia_echinata%1:20:00::),pernambuco wood#1(pernambuco_wood%1:20:00::),peachwood#1(peachwood%1:20:00::),peach-wood#1(peach-wood%1:20:00::),brazilwood#2(brazilwood%1:20:00::)","tropical tree with prickly trunk; its heavy red wood yields a red dye and is used for cabinetry","","Caesalpinia echinata,pernambuco wood,peachwood,peach-wood,brazilwood"
"litmus test",114869109,,"noun.substance",27,"n","litmus test#1(litmus_test%1:27:00::),litmus#1(litmus%1:27:00::)","a coloring material (obtained from lichens) that turns red in acid solutions and blue in alkaline solutions; used as a very rough acid-base indicator","","litmus test,litmus",1,15,"substance holonym",114869344,"noun.substance",27,"n","litmus paper#1(litmus_paper%1:27:00::)","unsized paper treated with litmus for use as an acid-base indicator","","litmus paper"
"wolfram",114596174,,"noun.substance",27,"n","atomic number 74#1(atomic_number_74%1:27:00::),tungsten#1(tungsten%1:27:00::),wolfram#1(wolfram%1:27:00::),W#1(w%1:27:00::)","a heavy grey-white metallic element; the pure form is used mainly in electrical applications; it is found in several ores including wolframite and scheelite","","atomic number 74,tungsten,wolfram,W",1,15,"substance holonym",115028358,"noun.substance",27,"n","wolframite#1(wolframite%1:27:00::),iron manganese tungsten#1(iron_manganese_tungsten%1:27:00::)","a mineral consisting of iron and manganese tungstate in crystalline form; the principal ore of tungsten; found in quartz veins associated with granitic rocks","","wolframite,iron manganese tungsten"
"elm",112341366,,"noun.plant",20,"n","elmwood#1(elmwood%1:20:00::),elm#2(elm%1:20:02::)","hard tough wood of an elm tree; used for e.g. implements and furniture","","elmwood,elm",2,15,"substance holonym",112340925,"noun.plant",20,"n","elm tree#1(elm_tree%1:20:00::),elm#1(elm%1:20:00::)","any of various trees of the genus Ulmus: important timber or shade trees","","elm tree,elm"
"kingwood",112458530,,"noun.plant",20,"n","kingwood#1(kingwood%1:20:02::)","handsome violet-streaked wood of the kingwood tree; used especially in cabinetwork","","kingwood",1,15,"substance holonym",112458352,"noun.plant",20,"n","Dalbergia cearensis#1(dalbergia_cearensis%1:20:00::),kingwood tree#1(kingwood_tree%1:20:00::),kingwood#2(kingwood%1:20:00::)","Brazilian tree yielding a handsome cabinet wood","","Dalbergia cearensis,kingwood tree,kingwood"
"cytosine",114758725,,"noun.substance",27,"n","cytosine#1(cytosine%1:27:00::),C#5(c%1:27:02::)","a base found in DNA and RNA and derived from pyrimidine; pairs with guanine","","cytosine,C",1,15,"substance holonym",114762407,"noun.substance",27,"n","RNA#1(rna%1:27:00::),ribonucleic acid#1(ribonucleic_acid%1:27:00::)","(biochemistry) a long linear polymer of nucleotides found in the nucleus but mainly in the cytoplasm of a cell where it is associated with microsomes; it transmits genetic information from DNA to the cytoplasm and controls certain chemical processes in the cell","ribonucleic acid is the genetic material of some viruses","RNA,ribonucleic acid"
"keratin",114668274,,"noun.substance",27,"n","keratin#1(keratin%1:27:00::),ceratin#1(ceratin%1:27:00::)","a fibrous scleroprotein that occurs in the outer layer of the skin and in horny tissues such as hair, feathers, nails, and hooves","","keratin,ceratin",1,15,"substance holonym",101898776,"noun.animal",5,"n","feather#1(feather%1:05:00::),plumage#1(plumage%1:05:00::),plume#3(plume%1:05:00::)","the light horny waterproof structure forming the external covering of birds","","feather,plumage,plume"
"marble-wood",112706565,,"noun.plant",20,"n","marblewood#1(marblewood%1:20:02::),marble-wood#1(marble-wood%1:20:02::)","hard marbled wood","","marblewood,marble-wood",1,15,"substance holonym",112706372,"noun.plant",20,"n","Andaman marble#1(andaman_marble%1:20:00::),Diospyros kurzii#1(diospyros_kurzii%1:20:00::),marble-wood#2(marble-wood%1:20:00::),marblewood#2(marblewood%1:20:00::)","large Asiatic tree having hard marbled zebrawood","","Andaman marble,Diospyros kurzii,marble-wood,marblewood"
"as",114565810,,"noun.substance",27,"n","As#1(as%1:27:00::),atomic number 33#1(atomic_number_33%1:27:00::),arsenic#2(arsenic%1:27:00::)","a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar","","As,atomic number 33,arsenic",1,15,"substance holonym",114603990,"noun.substance",27,"n","mispickel#1(mispickel%1:27:00::),arsenopyrite#1(arsenopyrite%1:27:00::)","a silver-white or grey ore of arsenic","","mispickel,arsenopyrite"
