"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"incense tree",112626134,,"noun.plant",20,"n","incense tree#1(incense_tree%1:20:00::)","any of various tropical trees of the family Burseraceae yielding fragrant gums or resins that are burned as incense","","incense tree",1,16,"substance meronym",112626509,"noun.plant",20,"n","gum elemi#1(gum_elemi%1:20:00::),elemi#1(elemi%1:20:00::)","fragrant resin obtain from trees of the family Burseraceae and used as incense","","gum elemi,elemi"
"cytochrome",114951852,,"noun.substance",27,"n","cytochrome#1(cytochrome%1:27:00::)","(biochemistry) a class of hemoprotein whose principal biological function is electron transfer (especially in cellular respiration)","","cytochrome",1,16,"substance meronym",114951278,"noun.substance",27,"n","haem#1(haem%1:27:00::),haemitin#1(haemitin%1:27:00::),protoheme#1(protoheme%1:27:00::),heme#1(heme%1:27:00::),hematin#1(hematin%1:27:00::)","a complex red organic pigment containing iron and other atoms to which oxygen binds","","haem,haemitin,protoheme,heme,hematin"
"haemoglobin",114950521,,"noun.substance",27,"n","haemoglobin#1(haemoglobin%1:27:00::),hemoglobin#1(hemoglobin%1:27:00::),Hb#1(hb%1:27:00::)","a hemoprotein composed of globin and heme that gives red blood cells their characteristic color; function primarily to transport oxygen from the lungs to the body tissues","fish have simpler hemoglobin than mammals","haemoglobin,hemoglobin,Hb",1,16,"substance meronym",114951278,"noun.substance",27,"n","haem#1(haem%1:27:00::),haemitin#1(haemitin%1:27:00::),protoheme#1(protoheme%1:27:00::),heme#1(heme%1:27:00::),hematin#1(hematin%1:27:00::)","a complex red organic pigment containing iron and other atoms to which oxygen binds","","haem,haemitin,protoheme,heme,hematin"
"citron",112644829,,"noun.plant",20,"n","citron tree#1(citron_tree%1:20:00::),Citrus medica#1(citrus_medica%1:20:00::),citron#2(citron%1:20:00::)","thorny evergreen small tree or shrub of India widely cultivated for its large lemonlike fruits that have thick warty rind","","citron tree,Citrus medica,citron",2,16,"substance meronym",112645071,"noun.plant",20,"n","citronwood#1(citronwood%1:20:00::)","wood of a citron tree","","citronwood"
"grasshopper",107846108,,"noun.food",13,"n","grasshopper#2(grasshopper%1:13:00::)","a cocktail made of creme de menthe and cream (sometimes with creme de cacao)","","grasshopper",2,16,"substance meronym",107840257,"noun.food",13,"n","creme de menthe#1(creme_de_menthe%1:13:00::)","sweet green or white mint-flavored liqueur","","creme de menthe"
"coconut",107703558,1,"noun.food",13,"n","cocoanut#1(cocoanut%1:13:00::),coconut#2(coconut%1:13:00::)","large hard-shelled oval nut with a fibrous husk containing thick white meat surrounding a central cavity filled (when fresh) with fluid or milk","","cocoanut,coconut",2,16,"substance meronym",107604553,"noun.food",13,"n","coconut oil#1(coconut_oil%1:13:00::),copra oil#1(copra_oil%1:13:00::)","oil from coconuts","","coconut oil,copra oil"
"cocoanut",107703558,,"noun.food",13,"n","cocoanut#1(cocoanut%1:13:00::),coconut#2(coconut%1:13:00::)","large hard-shelled oval nut with a fibrous husk containing thick white meat surrounding a central cavity filled (when fresh) with fluid or milk","","cocoanut,coconut",1,16,"substance meronym",107604553,"noun.food",13,"n","coconut oil#1(coconut_oil%1:13:00::),copra oil#1(copra_oil%1:13:00::)","oil from coconuts","","coconut oil,copra oil"
"peach-wood",112424479,,"noun.plant",20,"n","Caesalpinia echinata#1(caesalpinia_echinata%1:20:00::),pernambuco wood#1(pernambuco_wood%1:20:00::),peachwood#1(peachwood%1:20:00::),peach-wood#1(peach-wood%1:20:00::),brazilwood#2(brazilwood%1:20:00::)","tropical tree with prickly trunk; its heavy red wood yields a red dye and is used for cabinetry","","Caesalpinia echinata,pernambuco wood,peachwood,peach-wood,brazilwood",1,16,"substance meronym",112424735,"noun.plant",20,"n","brazilwood#1(brazilwood%1:20:02::)","heavy wood of various brazilwood trees; used for violin bows and as dyewoods","","brazilwood"
"chitin",114668524,,"noun.substance",27,"n","chitin#1(chitin%1:27:00::)","a tough semitransparent horny substance; the principal component of the exoskeletons of arthropods and the cell walls of certain fungi","","chitin",1,16,"substance meronym",114686113,"noun.substance",27,"n","glucosamine#1(glucosamine%1:27:00::)","an amino derivative of glucose that is a component of many polysaccharides","","glucosamine"
"kingwood",112458352,,"noun.plant",20,"n","Dalbergia cearensis#1(dalbergia_cearensis%1:20:00::),kingwood tree#1(kingwood_tree%1:20:00::),kingwood#2(kingwood%1:20:00::)","Brazilian tree yielding a handsome cabinet wood","","Dalbergia cearensis,kingwood tree,kingwood",2,16,"substance meronym",112458530,"noun.plant",20,"n","kingwood#1(kingwood%1:20:02::)","handsome violet-streaked wood of the kingwood tree; used especially in cabinetwork","","kingwood"
"dna",114760578,,"noun.substance",27,"n","desoxyribonucleic acid#1(desoxyribonucleic_acid%1:27:00::),DNA#1(dna%1:27:00::),deoxyribonucleic acid#1(deoxyribonucleic_acid%1:27:00::)","(biochemistry) a long linear polymer found in the nucleus of a cell and formed from nucleotides and shaped like a double helix; associated with the transmission of genetic information","DNA is the king of molecules","desoxyribonucleic acid,DNA,deoxyribonucleic acid",1,16,"substance meronym",114758725,"noun.substance",27,"n","cytosine#1(cytosine%1:27:00::),C#5(c%1:27:02::)","a base found in DNA and RNA and derived from pyrimidine; pairs with guanine","","cytosine,C"
"padding",103824721,,"noun.artifact",6,"n","padding#1(padding%1:06:00::),cushioning#1(cushioning%1:06:00::)","artifact consisting of soft or resilient material used to fill or give shape or protect or add comfort","","padding,cushioning",1,16,"substance meronym",114853961,"noun.substance",27,"n","kapok#1(kapok%1:27:00::),vegetable silk#1(vegetable_silk%1:27:00::),silk cotton#1(silk_cotton%1:27:00::)","a plant fiber from the kapok tree; used for stuffing and insulation","","kapok,vegetable silk,silk cotton"
"beech tree",112196022,,"noun.plant",20,"n","beech tree#1(beech_tree%1:20:00::),beech#1(beech%1:20:00::)","any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions","","beech tree,beech",1,16,"substance meronym",112196402,"noun.plant",20,"n","beechwood#1(beechwood%1:20:00::),beech#2(beech%1:20:02::)","wood of any of various beech trees; used for flooring and containers and plywood and tool handles","","beechwood,beech"
"langbeinite",114616507,,"noun.substance",27,"n","langbeinite#1(langbeinite%1:27:00::)","a mineral consisting of potassium magnesium double sulphate; used as a fertilizer","","langbeinite",1,16,"substance meronym",114587469,"noun.substance",27,"n","atomic number 19#1(atomic_number_19%1:27:00::),potassium#1(potassium%1:27:00::),K#2(k%1:27:00::)","a light soft silver-white metallic element of the alkali metal group; oxidizes rapidly in air and reacts violently with water; is abundant in nature in combined forms occurring in sea water and in carnallite and kainite and sylvite","","atomic number 19,potassium,K"
"gasohol",114623348,,"noun.substance",27,"n","gasohol#1(gasohol%1:27:00::)","a gasoline substitute consisting of 90% gasoline and 10% grain alcohol from corn","","gasohol",1,16,"substance meronym",114645593,"noun.substance",27,"n","fermentation alcohol#1(fermentation_alcohol%1:27:00::),grain alcohol#1(grain_alcohol%1:27:00::),ethyl alcohol#1(ethyl_alcohol%1:27:00::),ethanol#1(ethanol%1:27:00::)","the intoxicating agent in fermented and distilled liquors; used pure or denatured as a solvent or in medicines and colognes and cleaning solutions and rocket fuel; proposed as a renewable clean-burning additive to gasoline","","fermentation alcohol,grain alcohol,ethyl alcohol,ethanol"
"myroxylon balsamum",112486384,,"noun.plant",20,"n","Myroxylon balsamum#1(myroxylon_balsamum%1:20:00::),tolu tree#1(tolu_tree%1:20:00::),tolu balsam tree#1(tolu_balsam_tree%1:20:00::),Myroxylon toluiferum#1(myroxylon_toluiferum%1:20:00::)","medium-sized tropical American tree yielding tolu balsam and a fragrant hard wood used for high-grade furniture and cabinetwork","","Myroxylon balsamum,tolu tree,tolu balsam tree,Myroxylon toluiferum",1,16,"substance meronym",112486880,"noun.plant",20,"n","balsam of tolu#1(balsam_of_tolu%1:20:00::),tolu balsam#1(tolu_balsam%1:20:00::),tolu#1(tolu%1:20:00::)","aromatic yellowish brown balsam from the tolu balsam tree used especially in cough syrups","","balsam of tolu,tolu balsam,tolu"
"tulipwood tree",112123512,,"noun.plant",20,"n","tulipwood tree#1(tulipwood_tree%1:20:00::)","any of various trees yielding variously colored woods similar to true tulipwood","","tulipwood tree",1,16,"substance meronym",112123707,"noun.plant",20,"n","tulipwood#1(tulipwood%1:20:02::)","the variegated or showily striped ornamental wood of various tulipwood trees","","tulipwood"
"sunblock",104297476,,"noun.artifact",6,"n","sunscreen#1(sunscreen%1:06:00::),sunblock#1(sunblock%1:06:00::),sun blocker#1(sun_blocker%1:06:00::)","a cream spread on the skin; contains a chemical (as PABA) to filter out ultraviolet light and so protect from sunburn","","sunscreen,sunblock,sun blocker",1,16,"substance meronym",114900859,"noun.substance",27,"n","para aminobenzoic acid#1(para_aminobenzoic_acid%1:27:00::),PABA#1(paba%1:27:00::)","a metabolic acid found in yeast and liver cells; used to make dyes and drugs and sun blockers","","para aminobenzoic acid,PABA"
"bastnaesite",114604709,,"noun.substance",27,"n","bastnasite#1(bastnasite%1:27:00::),bastnaesite#1(bastnaesite%1:27:00::)","a yellow-to-brown mineral that is a source of rare earth elements","","bastnasite,bastnaesite",1,16,"substance meronym",114582543,"noun.substance",27,"n","atomic number 60#1(atomic_number_60%1:27:00::),neodymium#1(neodymium%1:27:00::),Nd#1(nd%1:27:00::)","a yellow trivalent metallic element of the rare earth group; occurs in monazite and bastnasite in association with cerium and lanthanum and praseodymium","","atomic number 60,neodymium,Nd"
"bastnasite",114604709,,"noun.substance",27,"n","bastnasite#1(bastnasite%1:27:00::),bastnaesite#1(bastnaesite%1:27:00::)","a yellow-to-brown mineral that is a source of rare earth elements","","bastnasite,bastnaesite",1,16,"substance meronym",114582543,"noun.substance",27,"n","atomic number 60#1(atomic_number_60%1:27:00::),neodymium#1(neodymium%1:27:00::),Nd#1(nd%1:27:00::)","a yellow trivalent metallic element of the rare earth group; occurs in monazite and bastnasite in association with cerium and lanthanum and praseodymium","","atomic number 60,neodymium,Nd"
"eucalyptus rostrata",112271556,,"noun.plant",20,"n","Eucalyptus camaldulensis#1(eucalyptus_camaldulensis%1:20:00::),river red gum#1(river_red_gum%1:20:00::),river gum#1(river_gum%1:20:00::),Eucalyptus rostrata#1(eucalyptus_rostrata%1:20:00::)","somewhat crooked red gum tree growing chiefly along rivers; has durable reddish lumber used in heavy construction","","Eucalyptus camaldulensis,river red gum,river gum,Eucalyptus rostrata",1,16,"substance meronym",112274313,"noun.plant",20,"n","eucalyptus gum#1(eucalyptus_gum%1:20:00::),red gum#1(red_gum%1:20:05::),eucalyptus kino#1(eucalyptus_kino%1:20:00::)","reddish-brown dried gummy exudation from any of several trees of the genus Eucalyptus especially Eucalyptus camaldulensis","","eucalyptus gum,red gum,eucalyptus kino"
"grey matter",105415170,,"noun.body",8,"n","gray matter#1(gray_matter%1:08:00::),gray substance#1(gray_substance%1:08:00::),substantia grisea#1(substantia_grisea%1:08:00::),grey substance#1(grey_substance%1:08:00::),grey matter#1(grey_matter%1:08:00::)","greyish nervous tissue containing cell bodies as well as fibers; forms the cerebral cortex consisting of unmyelinated neurons","","gray matter,gray substance,substantia grisea,grey substance,grey matter",1,16,"substance meronym",105414904,"noun.body",8,"n","neuropile#1(neuropile%1:08:00::),neuropil#1(neuropil%1:08:00::)","the complex network of unmyelinated axones, dendrites, and glial branches that form the bulk of the central nervous system's grey matter and in which nerve cell bodies are embedded","","neuropile,neuropil"
"air",114771042,42,"noun.substance",27,"n","air#1(air%1:27:00::)","a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of","air pollution|a smell of chemicals in the air|open a window and let in some air|I need some fresh air","air",1,16,"substance meronym",114579577,"noun.substance",27,"n","atomic number 36#1(atomic_number_36%1:27:00::),krypton#1(krypton%1:27:00::),Kr#1(kr%1:27:00::)","a colorless element that is one of the six inert gasses; occurs in trace amounts in air","","atomic number 36,krypton,Kr"
"hog",102398370,,"noun.animal",5,"n","pig#1(pig%1:05:00::),squealer#2(squealer%1:05:00::),Sus scrofa#2(sus_scrofa%1:05:02::),grunter#2(grunter%1:05:00::),hog#3(hog%1:05:00::)","domestic swine","","pig,squealer,Sus scrofa,grunter,hog",3,16,"substance meronym",107602813,"noun.food",13,"n","lard#1(lard%1:13:00::)","soft white semisolid fat obtained by rendering the fatty tissue of the hog","","lard"
"squealer",102398370,,"noun.animal",5,"n","pig#1(pig%1:05:00::),squealer#2(squealer%1:05:00::),Sus scrofa#2(sus_scrofa%1:05:02::),grunter#2(grunter%1:05:00::),hog#3(hog%1:05:00::)","domestic swine","","pig,squealer,Sus scrofa,grunter,hog",2,16,"substance meronym",107602813,"noun.food",13,"n","lard#1(lard%1:13:00::)","soft white semisolid fat obtained by rendering the fatty tissue of the hog","","lard"
"blende",115033008,,"noun.substance",27,"n","blende#1(blende%1:27:00::),zinc blende#1(zinc_blende%1:27:00::),sphalerite#1(sphalerite%1:27:00::)","an ore that is the chief source of zinc; consists largely of zinc sulfide in crystalline form","","blende,zinc blende,sphalerite",1,16,"substance meronym",114594480,"noun.substance",27,"n","atomic number 81#1(atomic_number_81%1:27:00::),Tl#1(tl%1:27:00::),thallium#1(thallium%1:27:00::)","a soft grey malleable metallic element that resembles tin but discolors on exposure to air; it is highly toxic and is used in rodent and insect poisons; occurs in zinc blende and some iron ores","","atomic number 81,Tl,thallium"
