"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"retire",202432715,1,"verb.social",41,"v","adjourn#2(adjourn%2:41:00::),retire#5(retire%2:41:00::),withdraw#7(withdraw%2:41:00::)","break from a meeting or gathering","We adjourned for lunch|The men retired to the library","adjourn,retire,withdraw",5,70,"verb group",200497025,"verb.change",30,"v","sequestrate#1(sequestrate%2:30:01::),seclude#1(seclude%2:30:00::),sequester#4(sequester%2:30:00::),withdraw#6(withdraw%2:30:00::)","keep away from others","He sequestered himself in his study to write a book","sequestrate,seclude,sequester,withdraw"
"relieve oneself",200071765,1,"verb.body",29,"v","make water#1(make_water%2:29:00::),wee-wee#1(wee-wee%2:29:00::),wee#1(wee%2:29:00::),spend a penny#1(spend_a_penny%2:29:00::),micturate#1(micturate%2:29:00::),pass water#1(pass_water%2:29:00::),pee#1(pee%2:29:00::),pee-pee#1(pee-pee%2:29:00::),relieve oneself#1(relieve_oneself%2:29:00::),piss#1(piss%2:29:00::),take a leak#1(take_a_leak%2:29:00::),piddle#2(piddle%2:29:00::),urinate#2(urinate%2:29:00::),puddle#9(puddle%2:29:00::),make#49(make%2:29:01::)","eliminate urine","Again, the cat had made on the expensive rug","make water,wee-wee,wee,spend a penny,micturate,pass water,pee,pee-pee,relieve oneself,piss,take a leak,piddle,urinate,puddle,make",1,70,"verb group",200073791,"verb.body",29,"v","ca-ca#1(ca-ca%2:29:00::),crap#1(crap%2:29:00::),defecate#1(defecate%2:29:00::),take a crap#1(take_a_crap%2:29:00::),take a shit#1(take_a_shit%2:29:00::),shit#2(shit%2:29:00::),stool#4(stool%2:29:00::),make#29(make%2:29:00::)","have a bowel movement","The dog had made in the flower beds","ca-ca,crap,defecate,take a crap,take a shit,shit,stool,make"
"wee",200071765,,"verb.body",29,"v","make water#1(make_water%2:29:00::),wee-wee#1(wee-wee%2:29:00::),wee#1(wee%2:29:00::),spend a penny#1(spend_a_penny%2:29:00::),micturate#1(micturate%2:29:00::),pass water#1(pass_water%2:29:00::),pee#1(pee%2:29:00::),pee-pee#1(pee-pee%2:29:00::),relieve oneself#1(relieve_oneself%2:29:00::),piss#1(piss%2:29:00::),take a leak#1(take_a_leak%2:29:00::),piddle#2(piddle%2:29:00::),urinate#2(urinate%2:29:00::),puddle#9(puddle%2:29:00::),make#49(make%2:29:01::)","eliminate urine","Again, the cat had made on the expensive rug","make water,wee-wee,wee,spend a penny,micturate,pass water,pee,pee-pee,relieve oneself,piss,take a leak,piddle,urinate,puddle,make",1,70,"verb group",200073791,"verb.body",29,"v","ca-ca#1(ca-ca%2:29:00::),crap#1(crap%2:29:00::),defecate#1(defecate%2:29:00::),take a crap#1(take_a_crap%2:29:00::),take a shit#1(take_a_shit%2:29:00::),shit#2(shit%2:29:00::),stool#4(stool%2:29:00::),make#29(make%2:29:00::)","have a bowel movement","The dog had made in the flower beds","ca-ca,crap,defecate,take a crap,take a shit,shit,stool,make"
"make",200071765,,"verb.body",29,"v","make water#1(make_water%2:29:00::),wee-wee#1(wee-wee%2:29:00::),wee#1(wee%2:29:00::),spend a penny#1(spend_a_penny%2:29:00::),micturate#1(micturate%2:29:00::),pass water#1(pass_water%2:29:00::),pee#1(pee%2:29:00::),pee-pee#1(pee-pee%2:29:00::),relieve oneself#1(relieve_oneself%2:29:00::),piss#1(piss%2:29:00::),take a leak#1(take_a_leak%2:29:00::),piddle#2(piddle%2:29:00::),urinate#2(urinate%2:29:00::),puddle#9(puddle%2:29:00::),make#49(make%2:29:01::)","eliminate urine","Again, the cat had made on the expensive rug","make water,wee-wee,wee,spend a penny,micturate,pass water,pee,pee-pee,relieve oneself,piss,take a leak,piddle,urinate,puddle,make",49,70,"verb group",200073791,"verb.body",29,"v","ca-ca#1(ca-ca%2:29:00::),crap#1(crap%2:29:00::),defecate#1(defecate%2:29:00::),take a crap#1(take_a_crap%2:29:00::),take a shit#1(take_a_shit%2:29:00::),shit#2(shit%2:29:00::),stool#4(stool%2:29:00::),make#29(make%2:29:00::)","have a bowel movement","The dog had made in the flower beds","ca-ca,crap,defecate,take a crap,take a shit,shit,stool,make"
"piddle",200071765,,"verb.body",29,"v","make water#1(make_water%2:29:00::),wee-wee#1(wee-wee%2:29:00::),wee#1(wee%2:29:00::),spend a penny#1(spend_a_penny%2:29:00::),micturate#1(micturate%2:29:00::),pass water#1(pass_water%2:29:00::),pee#1(pee%2:29:00::),pee-pee#1(pee-pee%2:29:00::),relieve oneself#1(relieve_oneself%2:29:00::),piss#1(piss%2:29:00::),take a leak#1(take_a_leak%2:29:00::),piddle#2(piddle%2:29:00::),urinate#2(urinate%2:29:00::),puddle#9(puddle%2:29:00::),make#49(make%2:29:01::)","eliminate urine","Again, the cat had made on the expensive rug","make water,wee-wee,wee,spend a penny,micturate,pass water,pee,pee-pee,relieve oneself,piss,take a leak,piddle,urinate,puddle,make",2,70,"verb group",200073791,"verb.body",29,"v","ca-ca#1(ca-ca%2:29:00::),crap#1(crap%2:29:00::),defecate#1(defecate%2:29:00::),take a crap#1(take_a_crap%2:29:00::),take a shit#1(take_a_shit%2:29:00::),shit#2(shit%2:29:00::),stool#4(stool%2:29:00::),make#29(make%2:29:00::)","have a bowel movement","The dog had made in the flower beds","ca-ca,crap,defecate,take a crap,take a shit,shit,stool,make"
"opacify",200578642,,"verb.change",30,"v","opacify#2(opacify%2:30:00::)","become opaque","the tissue in the eye's cornea may opacify and the patient may go blind","opacify",2,70,"verb group",200578831,"verb.change",30,"v","opacify#1(opacify%2:30:01::)","make opaque","The glass was opacified more greater privacy","opacify"
"dance",201898174,17,"verb.motion",38,"v","dance#1(dance%2:38:01::)","move in a graceful and rhythmical way","The young girl danced into the room","dance",1,70,"verb group",201712055,"verb.creation",36,"v","trip the light fantastic#1(trip_the_light_fantastic%2:36:00::),trip the light fantastic toe#1(trip_the_light_fantastic_toe%2:36:00::),dance#2(dance%2:36:00::)","move in a pattern; usually to musical accompaniment; do or perform a dance","My husband and I like to dance at home to the radio","trip the light fantastic,trip the light fantastic toe,dance"
"run across",202026285,2,"verb.motion",38,"v","meet#1(meet%2:38:01::),run across#1(run_across%2:38:00::),encounter#1(encounter%2:38:00::),come across#3(come_across%2:38:00::),run into#4(run_into%2:38:01::),see#8(see%2:38:00::)","come together","I'll probably see you at the meeting|How nice to see you again!","meet,run across,encounter,come across,run into,see",1,70,"verb group",202433152,"verb.social",41,"v","foregather#1(foregather%2:41:00::),forgather#1(forgather%2:41:00::),gather#2(gather%2:41:00::),assemble#2(assemble%2:41:00::),meet#5(meet%2:41:00::)","collect in one place","We assembled in the church basement|Let's gather in the dining room","foregather,forgather,gather,assemble,meet"
"apparel",200047662,,"verb.body",29,"v","raiment#1(raiment%2:29:00::),clothe#1(clothe%2:29:00::),enclothe#1(enclothe%2:29:00::),apparel#1(apparel%2:29:00::),tog#1(tog%2:29:00::),garb#1(garb%2:29:00::),garment#1(garment%2:29:00::),fit out#2(fit_out%2:29:00::),dress#2(dress%2:29:01::),habilitate#2(habilitate%2:29:00::)","provide with clothes or put clothes on","Parents must feed and dress their child","raiment,clothe,enclothe,apparel,tog,garb,garment,fit out,dress,habilitate",1,70,"verb group",200046251,"verb.body",29,"v","get dressed#1(get_dressed%2:29:00::),dress#1(dress%2:29:00::)","put on clothes","we had to dress quickly|dress the patient|Can the child dress by herself?","get dressed,dress"
"raiment",200047662,,"verb.body",29,"v","raiment#1(raiment%2:29:00::),clothe#1(clothe%2:29:00::),enclothe#1(enclothe%2:29:00::),apparel#1(apparel%2:29:00::),tog#1(tog%2:29:00::),garb#1(garb%2:29:00::),garment#1(garment%2:29:00::),fit out#2(fit_out%2:29:00::),dress#2(dress%2:29:01::),habilitate#2(habilitate%2:29:00::)","provide with clothes or put clothes on","Parents must feed and dress their child","raiment,clothe,enclothe,apparel,tog,garb,garment,fit out,dress,habilitate",1,70,"verb group",200046251,"verb.body",29,"v","get dressed#1(get_dressed%2:29:00::),dress#1(dress%2:29:00::)","put on clothes","we had to dress quickly|dress the patient|Can the child dress by herself?","get dressed,dress"
